"","date","recgroup","individuals_at_receiver","total_individuals","proportion","avg_depth"
"331",2021-01-11,"North shore",1,4,25,5.40343310961969
"332",2021-01-12,"Central",3,4,75,6.21029267097275
"333",2021-01-12,"East End",1,4,25,3.95076242424242
"334",2021-01-13,"Central",3,4,75,6.01923940842424
"335",2021-01-13,"East End",1,4,25,3.95076242424242
"336",2021-01-14,"Central",3,4,75,6.12688777793376
"337",2021-01-14,"East End",1,4,25,3.95076242424242
"338",2021-01-15,"Central",3,4,75,6.21918542583892
"339",2021-01-15,"East End",1,4,25,3.95076242424242
"340",2021-01-16,"Central",3,4,75,6.00695709059864
"341",2021-01-16,"East End",1,4,25,3.95076242424242
"342",2021-01-17,"Central",2,4,50,5.57223138106144
"343",2021-01-17,"East End",1,4,25,3.95076242424242
"344",2021-01-17,"North shore",1,4,25,7.03740592592593
"345",2021-01-18,"Central",3,4,75,6.06021990711113
"346",2021-01-18,"East End",1,4,25,3.95076242424242
"347",2021-01-19,"Central",1,4,25,6.28998497495826
"348",2021-01-19,"East End",1,4,25,3.95076242424242
"349",2021-01-19,"North shore",1,4,25,6.74602780952381
"350",2021-01-19,"West End",1,4,25,4.88973584158416
"351",2021-01-20,"Central",2,4,50,5.9898075752019
"352",2021-01-20,"East End",1,4,25,3.95076242424242
"353",2021-01-20,"North shore",1,4,25,4.44048061366806
"354",2021-01-21,"Central",1,4,25,7.09411913357401
"355",2021-01-21,"East End",1,4,25,3.95076242424242
"356",2021-01-21,"North shore",1,4,25,4.8631344
"357",2021-01-21,"West End",1,4,25,5.01822987551867
"358",2021-01-22,"East End",1,4,25,3.95076242424242
"359",2021-01-22,"North shore",2,4,50,5.34178281960131
"360",2021-01-22,"West End",1,4,25,7.27305836298932
"361",2021-01-23,"Central",1,4,25,7.29282271062271
"362",2021-01-23,"East End",1,4,25,3.95076242424242
"363",2021-01-23,"North shore",1,4,25,5.25559154929577
"364",2021-01-23,"West End",1,4,25,5.35445205479452
"365",2021-01-24,"Central",1,4,25,6.81758638985006
"366",2021-01-24,"East End",1,4,25,3.95076242424242
"367",2021-01-24,"North shore",1,4,25,5.27712402684564
"368",2021-01-24,"West End",1,4,25,5.70027383627608
"369",2021-01-25,"Central",2,4,50,6.18356309811181
"370",2021-01-25,"East End",1,4,25,3.95076242424242
"371",2021-01-25,"North shore",1,4,25,5.63594724857685
"372",2021-01-26,"Central",1,4,25,8.06754054054054
"373",2021-01-26,"East End",1,4,25,3.95076242424242
"374",2021-01-26,"North shore",2,4,50,5.75945109880031
"375",2021-01-27,"East End",1,4,25,3.95076242424242
"376",2021-01-27,"North shore",3,4,75,6.7754127923976
"377",2021-01-28,"Central",1,4,25,7.91098697068404
"378",2021-01-28,"East End",1,4,25,3.95076242424242
"379",2021-01-28,"North shore",2,4,50,5.73617070410429
"380",2021-01-29,"Central",1,4,25,7.57757369519833
"381",2021-01-29,"East End",1,4,25,3.95076242424242
"382",2021-01-29,"North shore",1,4,25,4.9666096
"383",2021-01-29,"West End",1,4,25,5.40377080291971
"384",2021-01-30,"Central",3,4,75,6.04349200698604
"385",2021-01-30,"East End",1,4,25,3.95076242424242
"386",2021-01-31,"Central",3,4,75,5.61335963356266
"387",2021-01-31,"East End",1,4,25,3.95076242424242
"388",2021-02-01,"Central",1,4,25,5.85945533596838
"389",2021-02-01,"East End",1,4,25,3.95076242424242
"390",2021-02-01,"North shore",2,4,50,6.92363693379791
"391",2021-02-02,"Central",1,4,25,7.94839964221825
"392",2021-02-02,"East End",1,4,25,3.95076242424242
"393",2021-02-02,"North shore",1,4,25,6.39122301790281
"394",2021-02-02,"West End",1,4,25,5.28627356321839
"395",2021-02-03,"East End",1,4,25,3.95076242424242
"396",2021-02-03,"North shore",3,4,75,6.17663294083096
"397",2021-02-04,"Central",3,4,75,6.163113890225
"398",2021-02-04,"East End",1,4,25,3.95076242424242
"399",2021-02-05,"Central",2,4,50,6.22381498169967
"400",2021-02-05,"East End",1,4,25,3.95076242424242
"401",2021-02-05,"West End",1,4,25,5.0301868852459
"402",2021-02-06,"Central",1,4,25,5.90281293532338
"403",2021-02-06,"East End",1,4,25,3.95076242424242
"404",2021-02-06,"North shore",1,4,25,5.76662985074627
"405",2021-02-06,"West End",1,4,25,6.94141610738255
"406",2021-02-07,"Central",2,4,50,4.74803257749469
"407",2021-02-07,"East End",1,4,25,3.95076242424242
"408",2021-02-07,"West End",1,4,25,5.87706203208556
